Num Axles , Articulated , floor type , Vehicle Code , Registration Classes     , Low entry , Passengers Lower Deck , Body Height , Vehicle Parameter Group , Heavy Urban , Urban , Suburban , Interurban , Coach , Air Drag Measurement , CdxA Standard , Axle load distribution , External displays , Internal displays , Fridge , Kitchen Standard
2         , 0           , low        , CE           , I/I+II/II/A              , 0         , -                     , -           , 31a                     , 3           , 3     , 3        ,            ,       , 0                    , 4.9           , 37.5/62.5/0/0          , 3                 , 2                 , 0      , 0
2         , 0           , low        , CE           , I/I+II/II/A              , 1         , -                     , -           , 31b                     , 3           , 3     , 3        ,            ,       , 0                    , 4.9           , 37.5/62.5/0/0          , 3                 , 2                 , 0      , 0
2         , 0           , low        , CF           , I/I+II/II/A              , -         , -                     , -           , 31c                     , 3.7         , 3.7   , 3.7      ,            ,       , 0                    , 6.2           , 37.5/62.5/0/0          , 3                 , 3                 , 0      , 0
2         , 0           , -          , CI           , I/I+II/II/II+III/III/A/B , -         , -                     , -           , 31d                     , 3           , 3     , 3        ,            ,       , 0                    , 5.7           , 37.5/62.5/0/0          , 1                 , 1                 , 0      , 0
2         , 0           , -          , CJ           , I/I+II/II/II+III/III/A/B , -         , -                     , -           , 31e                     , 3.7         , 3.7   , 3.7      ,            ,       , 0                    , 7             , 37.5/62.5/0/0          , 2                 , 1                 , 0      , 0
2         , 0           , high       , CA           , II                       , -         , -                     , -           , 32a                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.6           , 37.5/62.5/0/0          , 3                 , 2                 , 0      , 0
2         , 0           , high       , CA           , II+III                   , -         , -                     , 3100        , 32b                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.6           , 37.5/62.5/0/0          , 3                 , 2                 , 0      , 0
2         , 0           , high       , CA           , II+III                   , -         , -                     , 3100        , 32c                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.6           , 37.5/62.5/0/0          , 1                 , 2                 , 1      , 1
2         , 0           , high       , CA           , III/B                    , -         , -                     , -           , 32d                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.6           , 37.5/62.5/0/0          , 1                 , 2                 , 1      , 1
2         , 0           , high       , CB           , II/II+III/III/B          , -         , 6                     , -           , 32e                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 5.2           , 37.5/62.5/0/0          , 1                 , 2                 , 1      , 1
2         , 0           , high       , CB           , II/II+III/III/B          , -         , 6                     , -           , 32f                     ,             ,       ,          , 3          , 2     , 1                    , 5.2           , 37.5/62.5/0/0          , 1                 , 2                 , 1      , 1
3         , 0           , low        , CE           , I/I+II/II/A              , 0         , -                     , -           , 33a                     , 3           , 3     , 3        ,            ,       , 0                    , 5.0           , 27.3/45.4/27.3/0       , 3                 , 2                 , 0      , 0
3         , 0           , low        , CE           , I/I+II/II/A              , 1         , -                     , -           , 33b                     , 3           , 3     , 3        ,            ,       , 0                    , 5.0           , 27.3/45.4/27.3/0       , 3                 , 2                 , 0      , 0
3         , 0           , low        , CF           , I/I+II/II/A              , -         , -                     , -           , 33c                     , 3.7         , 3.7   , 3.7      ,            ,       , 0                    , 6.3           , 27.3/45.4/27.3/0       , 3                 , 3                 , 0      , 0
3         , 0           , -          , CI           , I/I+II/II/II+III/III/A/B , -         , -                     , -           , 33d                     , 3           , 3     , 3        ,            ,       , 0                    , 5.8           , 27.3/45.4/27.3/0       , 1                 , 1                 , 0      , 0
3         , 0           , -          , CJ           , I/I+II/II/II+III/III/A/B , -         , -                     , -           , 33e                     , 3.7         , 3.7   , 3.7      ,            ,       , 0                    , 7.1           , 27.3/45.4/27.3/0       , 2                 , 1                 , 0      , 0
3         , 0           , high       , CA           , II                       , -         , -                     , -           , 34a                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.7           , 27.3/45.4/27.3/0       , 3                 , 2                 , 0      , 0
3         , 0           , high       , CA           , II+III                   , -         , -                     , 3100        , 34b                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.7           , 27.3/45.4/27.3/0       , 3                 , 2                 , 0      , 0
3         , 0           , high       , CA           , II+III                   , -         , -                     , 3100        , 34c                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.7           , 27.3/45.4/27.3/0       , 1                 , 2                 , 1      , 1
3         , 0           , high       , CA           , III/B                    , -         , -                     , -           , 34d                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.7           , 27.3/45.4/27.3/0       , 1                 , 2                 , 1      , 1
3         , 0           , high       , CB           , II/II+III/III/B          , -         , 6                     , -           , 34e                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 5.3           , 27.3/45.4/27.3/0       , 1                 , 3                 , 1      , 1
3         , 0           , high       , CB           , II/II+III/III/B          , -         , 6                     , -           , 34f                     ,             ,       ,          , 3          , 2     , 1                    , 5.3           , 27.3/45.4/27.3/0       , 1                 , 4                 , 1      , 1.5
3         , 1           , low        , CG           , I/I+II/II/A              , 0         , -                     , -           , 35a                     , 3           , 3     , 3        ,            ,       , 0                    , 5.1           , 27.3/45.4/27.3/0       , 3                 , 3                 , 0      , 0
3         , 1           , low        , CG           , I/I+II/II/A              , 1         , -                     , -           , 35b                     , 3           , 3     , 3        ,            ,       , 0                    , 5.1           , 27.3/45.4/27.3/0       , 3                 , 3                 , 0      , 0
3         , 1           , low        , CH           , I/I+II/II/A              , -         , -                     , -           , 35c                     , 3.7         , 3.7   , 3.7      ,            ,       , 0                    , 6.4           , 27.3/45.4/27.3/0       , 0                 , 0                 , 0      , 0
3         , 1           , high       , CC           , II                       , -         , -                     , -           , 36a                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 27.3/45.4/27.3/0       , 0                 , 0                 , 0      , 0
3         , 1           , high       , CC           , II+III                   , -         , -                     , 3100        , 36b                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 27.3/45.4/27.3/0       , 0                 , 0                 , 0      , 0
3         , 1           , high       , CC           , II+III                   , -         , -                     , 3100        , 36c                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 27.3/45.4/27.3/0       , 0                 , 0                 , 0      , 0
3         , 1           , high       , CC           , III/B                    , -         , -                     , -           , 36d                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 4.8           , 27.3/45.4/27.3/0       , 0                 , 0                 , 0      , 0
3         , 1           , high       , CD           , II/II+III/III/B          , -         , 6                     , -           , 36e                     ,             ,       ,          , 2.2        , 1.4   , 1                    , 5.4           , 27.3/45.4/27.3/0       , 0                 , 0                 , 0      , 0
3         , 1           , high       , CD           , II/II+III/III/B          , -         , 6                     , -           , 36f                     ,             ,       ,          , 3          , 2     , 1                    , 5.4           , 27.3/45.4/27.3/0       , 0                 , 0                 , 0      , 0
