Weighting Group , LongHaul  , LongHaul EMS , Regional Delivery , Regional Delivery EMS , Urban Delivery , Municipal Utility , Construction , Heavy Urban , Urban       , Suburban    , Interurban  , Coach
1s              , 0/0       , 0/0          , 0.1/0.3           , 0/0                   , 0.18/0.42      , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
1               , 0/0       , 0/0          , 0.1/0.3           , 0/0                   , 0.18/0.42      , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
2               , 0/0       , 0/0          , 0.125/0.375       , 0/0                   , 0.15/0.35      , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
3               , 0/0       , 0/0          , 0.125/0.375       , 0/0                   , 0.15/0.35      , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
4-UD            , 0/0       , 0/0          , 0/0               , 0/0                   , 0.5/0.5        , 0.25/0.25         , 0.25/0.25    , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
4-RD            , 0.05/0.05 , 0/0          , 0.45/0.45         , 0/0                   , 0/0            , 0.25/0.25         , 0.25/0.25    , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
4-LH            , 0.45/0.45 , 0/0          , 0.05/0.05         , 0/0                   , 0/0            , 0.25/0.25         , 0.25/0.25    , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
5-RD            , 0.03/0.07 , 0/0          , 0.27/0.63         , 0/0                   , 0/0            , 0/0               , 0.5/0.5      , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
5-LH            , 0.27/0.63 , 0/0          , 0.03/0.07         , 0/0                   , 0/0            , 0/0               , 0.5/0.5      , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
9-RD            , 0.03/0.07 , 0/0          , 0.27/0.63         , 0/0                   , 0/0            , 0.25/0.25         , 0.25/0.25    , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
9-LH            , 0.27/0.63 , 0/0          , 0.03/0.07         , 0/0                   , 0/0            , 0.25/0.25         , 0.25/0.25    , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
10-RD           , 0.03/0.07 , 0/0          , 0.27/0.63         , 0/0                   , 0/0            , 0/0               , 0.5/0.5      , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
10-LH           , 0.27/0.63 , 0/0          , 0.03/0.07         , 0/0                   , 0/0            , 0/0               , 0.5/0.5      , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
11              , 0/0       , 0/0          , 0.3/0.7           , 0/0                   , 0/0            , 0.1/0.23          , 0.3/0.37     , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
12              , 0/0       , 0/0          , 0.3/0.7           , 0/0                   , 0/0            , 0/0               , 0.3/0.7      , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
16              , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0.30/0.70    , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
# medium lorries
51              , 0/0       , 0/0          , 0.25/0.25         , 0/0                   , 0.25/0.25      , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
52              , 0/0       , 0/0          , 0.25/0.25         , 0/0                   , 0.25/0.25      , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
53              , 0/0       , 0/0          , 0.25/0.25         , 0/0                   , 0.25/0.25      , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
54              , 0/0       , 0/0          , 0.25/0.25         , 0/0                   , 0.25/0.25      , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
55              , 0/0       , 0/0          , 0.25/0.25         , 0/0                   , 0.25/0.25      , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
56              , 0/0       , 0/0          , 0.25/0.25         , 0/0                   , 0.25/0.25      , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0/0         , 0/0
# completed buses
31-LF           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0.27/0.23   , 0.15/0.13   , 0.11/0.11   , 0/0         , 0/0
31-L1           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0.05/0.05   , 0.16/0.14   , 0.32/0.28   , 0/0         , 0/0
31-L2           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0.05/0.05   , 0.09/0.08   , 0.15/0.13   , 0.24/0.21   , 0/0
31-DD           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0.20/0.31   , 0.12/0.18   , 0.07/0.12   , 0/0         , 0/0
32-C2           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0.47/0.43   , 0.04/0.06
32-C3           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0.05/0.05   , 0.30/0.60
32-DD           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0.05/0.05   , 0.35/0.55
33-LF           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0.27/0.23   , 0.15/0.13   , 0.11/0.11   , 0/0         , 0/0
33-L1           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0.05/0.05   , 0.16/0.14   , 0.32/0.28   , 0/0         , 0/0
33-L2           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0.05/0.05   , 0.09/0.08   , 0.15/0.13   , 0.24/0.21   , 0/0
33-DD           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0.20/0.31   , 0.12/0.18   , 0.07/0.12   , 0/0         , 0/0
34-C2           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0.47/0.43   , 0.04/0.06
34-C3           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0.05/0.05   , 0.30/0.60
34-DD           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0/0         , 0/0         , 0/0         , 0.05/0.05   , 0.35/0.55
35-FE           , 0/0       , 0/0          , 0/0               , 0/0                   , 0/0            , 0/0               , 0/0          , 0.27/0.23   , 0.15/0.13   , 0.11/0.11   , 0/0         , 0/0
